Subnetting para red clase: "C"
SR  | Intervalo Decimal                 | ID SubRed       | Intervalo Hosts                   | Broadcast       | Usa |
1   | 199.030.020.000 - 199.030.020.007 | 199.030.020.000 | 199.030.020.001 - 199.030.020.006 | 199.030.020.007 | NO  |
2   | 199.030.020.008 - 199.030.020.015 | 199.030.020.008 | 199.030.020.009 - 199.030.020.014 | 199.030.020.015 | SI  |
3   | 199.030.020.016 - 199.030.020.023 | 199.030.020.016 | 199.030.020.017 - 199.030.020.022 | 199.030.020.023 | SI  |
4   | 199.030.020.024 - 199.030.020.031 | 199.030.020.024 | 199.030.020.025 - 199.030.020.030 | 199.030.020.031 | SI  |
5   | 199.030.020.032 - 199.030.020.039 | 199.030.020.032 | 199.030.020.033 - 199.030.020.038 | 199.030.020.039 | SI  |
6   | 199.030.020.040 - 199.030.020.047 | 199.030.020.040 | 199.030.020.041 - 199.030.020.046 | 199.030.020.047 | SI  |
7   | 199.030.020.048 - 199.030.020.055 | 199.030.020.048 | 199.030.020.049 - 199.030.020.054 | 199.030.020.055 | SI  |
8   | 199.030.020.056 - 199.030.020.063 | 199.030.020.056 | 199.030.020.057 - 199.030.020.062 | 199.030.020.063 | SI  |
9   | 199.030.020.064 - 199.030.020.071 | 199.030.020.064 | 199.030.020.065 - 199.030.020.070 | 199.030.020.071 | SI  |
10  | 199.030.020.072 - 199.030.020.079 | 199.030.020.072 | 199.030.020.073 - 199.030.020.078 | 199.030.020.079 | SI  |
11  | 199.030.020.080 - 199.030.020.087 | 199.030.020.080 | 199.030.020.081 - 199.030.020.086 | 199.030.020.087 | SI  |
12  | 199.030.020.088 - 199.030.020.095 | 199.030.020.088 | 199.030.020.089 - 199.030.020.094 | 199.030.020.095 | SI  |
13  | 199.030.020.096 - 199.030.020.103 | 199.030.020.096 | 199.030.020.097 - 199.030.020.102 | 199.030.020.103 | SI  |
14  | 199.030.020.104 - 199.030.020.111 | 199.030.020.104 | 199.030.020.105 - 199.030.020.110 | 199.030.020.111 | SI  |
15  | 199.030.020.112 - 199.030.020.119 | 199.030.020.112 | 199.030.020.113 - 199.030.020.118 | 199.030.020.119 | SI  |
16  | 199.030.020.120 - 199.030.020.127 | 199.030.020.120 | 199.030.020.121 - 199.030.020.126 | 199.030.020.127 | SI  |
17  | 199.030.020.128 - 199.030.020.135 | 199.030.020.128 | 199.030.020.129 - 199.030.020.134 | 199.030.020.135 | SI  |
18  | 199.030.020.136 - 199.030.020.143 | 199.030.020.136 | 199.030.020.137 - 199.030.020.142 | 199.030.020.143 | SI  |
19  | 199.030.020.144 - 199.030.020.151 | 199.030.020.144 | 199.030.020.145 - 199.030.020.150 | 199.030.020.151 | SI  |
20  | 199.030.020.152 - 199.030.020.159 | 199.030.020.152 | 199.030.020.153 - 199.030.020.158 | 199.030.020.159 | SI  |
21  | 199.030.020.160 - 199.030.020.167 | 199.030.020.160 | 199.030.020.161 - 199.030.020.166 | 199.030.020.167 | SI  |
22  | 199.030.020.168 - 199.030.020.175 | 199.030.020.168 | 199.030.020.169 - 199.030.020.174 | 199.030.020.175 | SI  |
23  | 199.030.020.176 - 199.030.020.183 | 199.030.020.176 | 199.030.020.177 - 199.030.020.182 | 199.030.020.183 | SI  |
24  | 199.030.020.184 - 199.030.020.191 | 199.030.020.184 | 199.030.020.185 - 199.030.020.190 | 199.030.020.191 | SI  |
25  | 199.030.020.192 - 199.030.020.199 | 199.030.020.192 | 199.030.020.193 - 199.030.020.198 | 199.030.020.199 | SI  |
26  | 199.030.020.200 - 199.030.020.207 | 199.030.020.200 | 199.030.020.201 - 199.030.020.206 | 199.030.020.207 | SI  |
27  | 199.030.020.208 - 199.030.020.215 | 199.030.020.208 | 199.030.020.209 - 199.030.020.214 | 199.030.020.215 | SI  |
28  | 199.030.020.216 - 199.030.020.223 | 199.030.020.216 | 199.030.020.217 - 199.030.020.222 | 199.030.020.223 | SI  |
29  | 199.030.020.224 - 199.030.020.231 | 199.030.020.224 | 199.030.020.225 - 199.030.020.230 | 199.030.020.231 | SI  |
30  | 199.030.020.232 - 199.030.020.239 | 199.030.020.232 | 199.030.020.233 - 199.030.020.238 | 199.030.020.239 | SI  |
31  | 199.030.020.240 - 199.030.020.247 | 199.030.020.240 | 199.030.020.241 - 199.030.020.246 | 199.030.020.247 | SI  |
32  | 199.030.020.248 - 199.030.020.255 | 199.030.020.248 | 199.030.020.249 - 199.030.020.254 | 199.030.020.255 | NO  |
